Effective From:Â June 01,2020	Product Name	Rs./litreE10 Gasoline	72.03Altron Premium	74.52Action + Diesel	80.15LDO	38.14SKO	35.56JP-1	24.85	
Altron Premium	74.29
Altron Plus Diesel	83.61
LDO	57.94
SKO	61.44
JP-1	45.65
	
Effective From:Â April 01,2015	
Product Name	Rs./litre
E10 Gasoline	71.79
HOBC	77.42
Altron Premium	74.29
Altron Plus Diesel	83.61
LDO	57.94
SKO	61.44
JP-1	0
	
Effective From:Â March 01,2015	
Product Name	Rs./litre
E10 Gasoline	67.79
HOBC	77.42
Altron Premium	70.29
Altron Plus Diesel	80.61
LDO	57.94
SKO	61.44
JP-1	0
	
Effective From:Â February 01,2015	
Product Name	Rs./litre
E10 Gasoline	67.79
HOBC	77.1
Altron Premium	70.29
Altron Plus Diesel	80.61
LDO	57.94
SKO	61.44
JP-1	0
	
Effective From:Â January 01,2015	
Product Name	Rs./litre
E10 Gasoline	75.78
HOBC	88.9
Altron Premium	78.28
Altron Plus Diesel	86.23
LDO	67.5
SKO	71.92
JP-1	0
	
Effective From:Â December 01,2014	
Product Name	Rs./litre
E10 Gasoline	82.03
HOBC	103.04
Altron Premium	84.53
Altron Plus Diesel	94.09
LDO	0
SKO	0
JP-1	0
	
Effective From:Â November 01,2014	
Product Name	Rs./litre
E10 Gasoline	91.69
HOBC	113.12
Altron Premium	94.19
Altron Plus Diesel	101.21
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 01,2014	
Product Name	Rs./litre
E10 Gasoline	101.12
HOBC	127.78
Altron Premium	103.62
Altron Plus Diesel	107.39
LDO	0
SKO	0
JP-1	0
	
Effective From:Â September 01,2014	
Product Name	Rs./litre
E10 Gasoline	104.06
HOBC	129.64
Altron Premium	106.56
Altron Plus Diesel	108.34
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 01,2014	
Product Name	Rs./litre
E10 Gasoline	105.48
HOBC	131.26
Altron Premium	107.97
Altron Plus Diesel	109.34
LDO	0
SKO	0
JP-1	0
	
Effective From:Â July 01,2014	
Product Name	Rs./litre
E10 Gasoline	105.48
HOBC	131.26
Altron Premium	107.97
Altron Plus Diesel	109.34
LDO	0
SKO	0
JP-1	0
	
Effective From:Â June 01,2014	
Product Name	Rs./litre
E10 Gasoline	105.48
HOBC	131.26
Altron Premium	107.97
Altron Plus Diesel	109.34
LDO	0
SKO	0
JP-1	0
	
Effective From:Â May 01,2014	
Product Name	Rs./litre
E10 Gasoline	105.48
HOBC	131.18
Altron Premium	107.97
Altron Plus Diesel	109.34
LDO	0
SKO	0
JP-1	0
	
Effective From:Â April 01,2014	
Product Name	Rs./litre
E10 Gasoline	105.81
HOBC	133.08
Altron Premium	108.31
Altron Plus Diesel	113.85
LDO	0
SKO	0
JP-1	0
	
Effective From:Â March 01,2014	
Product Name	Rs./litre
E10 Gasoline	107.53
